timestamp,concurrency,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_1440
2025-01-02 00:00:00,198,19.0,28.0,18.0,32.0,42.0,26.0,31.0,38.0,32.0,42.0,179.0
2025-01-02 00:01:00,63,198.0,19.0,28.0,18.0,32.0,42.0,26.0,31.0,38.0,32.0,60.0
2025-01-02 00:02:00,16,63.0,198.0,19.0,28.0,18.0,32.0,42.0,26.0,31.0,38.0,38.0
2025-01-02 00:03:00,40,16.0,63.0,198.0,19.0,28.0,18.0,32.0,42.0,26.0,31.0,61.0
2025-01-02 00:04:00,55,40.0,16.0,63.0,198.0,19.0,28.0,18.0,32.0,42.0,26.0,49.0
2025-01-02 00:05:00,55,55.0,40.0,16.0,63.0,198.0,19.0,28.0,18.0,32.0,42.0,37.0
2025-01-02 00:06:00,49,55.0,55.0,40.0,16.0,63.0,198.0,19.0,28.0,18.0,32.0,67.0
2025-01-02 00:07:00,46,49.0,55.0,55.0,40.0,16.0,63.0,198.0,19.0,28.0,18.0,49.0
2025-01-02 00:08:00,40,46.0,49.0,55.0,55.0,40.0,16.0,63.0,198.0,19.0,28.0,50.0
2025-01-02 00:09:00,44,40.0,46.0,49.0,55.0,55.0,40.0,16.0,63.0,198.0,19.0,42.0
2025-01-02 00:10:00,64,44.0,40.0,46.0,49.0,55.0,55.0,40.0,16.0,63.0,198.0,56.0
2025-01-02 00:11:00,41,64.0,44.0,40.0,46.0,49.0,55.0,55.0,40.0,16.0,63.0,52.0
2025-01-02 00:12:00,31,41.0,64.0,44.0,40.0,46.0,49.0,55.0,55.0,40.0,16.0,36.0
2025-01-02 00:13:00,40,31.0,41.0,64.0,44.0,40.0,46.0,49.0,55.0,55.0,40.0,39.0
2025-01-02 00:14:00,14,40.0,31.0,41.0,64.0,44.0,40.0,46.0,49.0,55.0,55.0,22.0
2025-01-02 00:15:00,50,14.0,40.0,31.0,41.0,64.0,44.0,40.0,46.0,49.0,55.0,34.0
2025-01-02 00:16:00,42,50.0,14.0,40.0,31.0,41.0,64.0,44.0,40.0,46.0,49.0,63.0
2025-01-02 00:17:00,24,42.0,50.0,14.0,40.0,31.0,41.0,64.0,44.0,40.0,46.0,20.0
2025-01-02 00:18:00,41,24.0,42.0,50.0,14.0,40.0,31.0,41.0,64.0,44.0,40.0,33.0
2025-01-02 00:19:00,24,41.0,24.0,42.0,50.0,14.0,40.0,31.0,41.0,64.0,44.0,25.0
2025-01-02 00:20:00,62,24.0,41.0,24.0,42.0,50.0,14.0,40.0,31.0,41.0,64.0,53.0
2025-01-02 00:21:00,29,62.0,24.0,41.0,24.0,42.0,50.0,14.0,40.0,31.0,41.0,41.0
2025-01-02 00:22:00,25,29.0,62.0,24.0,41.0,24.0,42.0,50.0,14.0,40.0,31.0,34.0
2025-01-02 00:23:00,56,25.0,29.0,62.0,24.0,41.0,24.0,42.0,50.0,14.0,40.0,51.0
2025-01-02 00:24:00,31,56.0,25.0,29.0,62.0,24.0,41.0,24.0,42.0,50.0,14.0,53.0
2025-01-02 00:25:00,40,31.0,56.0,25.0,29.0,62.0,24.0,41.0,24.0,42.0,50.0,41.0
2025-01-02 00:26:00,41,40.0,31.0,56.0,25.0,29.0,62.0,24.0,41.0,24.0,42.0,44.0
2025-01-02 00:27:00,36,41.0,40.0,31.0,56.0,25.0,29.0,62.0,24.0,41.0,24.0,47.0
2025-01-02 00:28:00,33,36.0,41.0,40.0,31.0,56.0,25.0,29.0,62.0,24.0,41.0,40.0
2025-01-02 00:29:00,28,33.0,36.0,41.0,40.0,31.0,56.0,25.0,29.0,62.0,24.0,23.0
2025-01-02 00:30:00,62,28.0,33.0,36.0,41.0,40.0,31.0,56.0,25.0,29.0,62.0,56.0
2025-01-02 00:31:00,47,62.0,28.0,33.0,36.0,41.0,40.0,31.0,56.0,25.0,29.0,52.0
2025-01-02 00:32:00,34,47.0,62.0,28.0,33.0,36.0,41.0,40.0,31.0,56.0,25.0,38.0
2025-01-02 00:33:00,50,34.0,47.0,62.0,28.0,33.0,36.0,41.0,40.0,31.0,56.0,55.0
2025-01-02 00:34:00,46,50.0,34.0,47.0,62.0,28.0,33.0,36.0,41.0,40.0,31.0,44.0
2025-01-02 00:35:00,36,46.0,50.0,34.0,47.0,62.0,28.0,33.0,36.0,41.0,40.0,40.0
2025-01-02 00:36:00,51,36.0,46.0,50.0,34.0,47.0,62.0,28.0,33.0,36.0,41.0,52.0
2025-01-02 00:37:00,42,51.0,36.0,46.0,50.0,34.0,47.0,62.0,28.0,33.0,36.0,43.0
2025-01-02 00:38:00,31,42.0,51.0,36.0,46.0,50.0,34.0,47.0,62.0,28.0,33.0,42.0
2025-01-02 00:39:00,29,31.0,42.0,51.0,36.0,46.0,50.0,34.0,47.0,62.0,28.0,51.0
2025-01-02 00:40:00,56,29.0,31.0,42.0,51.0,36.0,46.0,50.0,34.0,47.0,62.0,44.0
2025-01-02 00:41:00,39,56.0,29.0,31.0,42.0,51.0,36.0,46.0,50.0,34.0,47.0,44.0
2025-01-02 00:42:00,32,39.0,56.0,29.0,31.0,42.0,51.0,36.0,46.0,50.0,34.0,35.0
2025-01-02 00:43:00,64,32.0,39.0,56.0,29.0,31.0,42.0,51.0,36.0,46.0,50.0,48.0
2025-01-02 00:44:00,40,64.0,32.0,39.0,56.0,29.0,31.0,42.0,51.0,36.0,46.0,28.0
2025-01-02 00:45:00,48,40.0,64.0,32.0,39.0,56.0,29.0,31.0,42.0,51.0,36.0,51.0
2025-01-02 00:46:00,37,48.0,40.0,64.0,32.0,39.0,56.0,29.0,31.0,42.0,51.0,39.0
2025-01-02 00:47:00,29,37.0,48.0,40.0,64.0,32.0,39.0,56.0,29.0,31.0,42.0,19.0
2025-01-02 00:48:00,45,29.0,37.0,48.0,40.0,64.0,32.0,39.0,56.0,29.0,31.0,43.0
2025-01-02 00:49:00,38,45.0,29.0,37.0,48.0,40.0,64.0,32.0,39.0,56.0,29.0,30.0
2025-01-02 00:50:00,35,38.0,45.0,29.0,37.0,48.0,40.0,64.0,32.0,39.0,56.0,40.0
2025-01-02 00:51:00,37,35.0,38.0,45.0,29.0,37.0,48.0,40.0,64.0,32.0,39.0,34.0
2025-01-02 00:52:00,39,37.0,35.0,38.0,45.0,29.0,37.0,48.0,40.0,64.0,32.0,47.0
2025-01-02 00:53:00,43,39.0,37.0,35.0,38.0,45.0,29.0,37.0,48.0,40.0,64.0,25.0
2025-01-02 00:54:00,25,43.0,39.0,37.0,35.0,38.0,45.0,29.0,37.0,48.0,40.0,30.0
2025-01-02 00:55:00,47,25.0,43.0,39.0,37.0,35.0,38.0,45.0,29.0,37.0,48.0,40.0
2025-01-02 00:56:00,57,47.0,25.0,43.0,39.0,37.0,35.0,38.0,45.0,29.0,37.0,43.0
2025-01-02 00:57:00,29,57.0,47.0,25.0,43.0,39.0,37.0,35.0,38.0,45.0,29.0,40.0
2025-01-02 00:58:00,28,29.0,57.0,47.0,25.0,43.0,39.0,37.0,35.0,38.0,45.0,30.0
2025-01-02 00:59:00,40,28.0,29.0,57.0,47.0,25.0,43.0,39.0,37.0,35.0,38.0,25.0
2025-01-02 01:00:00,104,40.0,28.0,29.0,57.0,47.0,25.0,43.0,39.0,37.0,35.0,104.0
2025-01-02 01:01:00,44,104.0,40.0,28.0,29.0,57.0,47.0,25.0,43.0,39.0,37.0,42.0
2025-01-02 01:02:00,45,44.0,104.0,40.0,28.0,29.0,57.0,47.0,25.0,43.0,39.0,30.0
2025-01-02 01:03:00,34,45.0,44.0,104.0,40.0,28.0,29.0,57.0,47.0,25.0,43.0,41.0
2025-01-02 01:04:00,53,34.0,45.0,44.0,104.0,40.0,28.0,29.0,57.0,47.0,25.0,83.0
