timestamp,concurrency,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10
2025-01-01 00:10:00,30,16,9,27,21,47,30,33,23,24,122
2025-01-01 00:11:00,15,30,16,9,27,21,47,30,33,23,24
2025-01-01 00:12:00,21,15,30,16,9,27,21,47,30,33,23
2025-01-01 00:13:00,13,21,15,30,16,9,27,21,47,30,33
2025-01-01 00:14:00,12,13,21,15,30,16,9,27,21,47,30
2025-01-01 00:15:00,121,12,13,21,15,30,16,9,27,21,47
2025-01-01 00:16:00,23,121,12,13,21,15,30,16,9,27,21
2025-01-01 00:17:00,21,23,121,12,13,21,15,30,16,9,27
2025-01-01 00:18:00,12,21,23,121,12,13,21,15,30,16,9
2025-01-01 00:19:00,18,12,21,23,121,12,13,21,15,30,16
2025-01-01 00:20:00,17,18,12,21,23,121,12,13,21,15,30
2025-01-01 00:21:00,19,17,18,12,21,23,121,12,13,21,15
2025-01-01 00:22:00,28,19,17,18,12,21,23,121,12,13,21
2025-01-01 00:23:00,16,28,19,17,18,12,21,23,121,12,13
2025-01-01 00:24:00,18,16,28,19,17,18,12,21,23,121,12
2025-01-01 00:25:00,33,18,16,28,19,17,18,12,21,23,121
2025-01-01 00:26:00,24,33,18,16,28,19,17,18,12,21,23
2025-01-01 00:27:00,21,24,33,18,16,28,19,17,18,12,21
2025-01-01 00:28:00,23,21,24,33,18,16,28,19,17,18,12
2025-01-01 00:29:00,14,23,21,24,33,18,16,28,19,17,18
2025-01-01 00:30:00,155,14,23,21,24,33,18,16,28,19,17
2025-01-01 00:31:00,17,155,14,23,21,24,33,18,16,28,19
2025-01-01 00:32:00,28,17,155,14,23,21,24,33,18,16,28
2025-01-01 00:33:00,27,28,17,155,14,23,21,24,33,18,16
2025-01-01 00:34:00,26,27,28,17,155,14,23,21,24,33,18
2025-01-01 00:35:00,19,26,27,28,17,155,14,23,21,24,33
2025-01-01 00:36:00,40,19,26,27,28,17,155,14,23,21,24
2025-01-01 00:37:00,31,40,19,26,27,28,17,155,14,23,21
2025-01-01 00:38:00,16,31,40,19,26,27,28,17,155,14,23
2025-01-01 00:39:00,20,16,31,40,19,26,27,28,17,155,14
2025-01-01 00:40:00,37,20,16,31,40,19,26,27,28,17,155
2025-01-01 00:41:00,18,37,20,16,31,40,19,26,27,28,17
2025-01-01 00:42:00,34,18,37,20,16,31,40,19,26,27,28
2025-01-01 00:43:00,16,34,18,37,20,16,31,40,19,26,27
2025-01-01 00:44:00,20,16,34,18,37,20,16,31,40,19,26
2025-01-01 00:45:00,133,20,16,34,18,37,20,16,31,40,19
2025-01-01 00:46:00,28,133,20,16,34,18,37,20,16,31,40
2025-01-01 00:47:00,29,28,133,20,16,34,18,37,20,16,31
2025-01-01 00:48:00,22,29,28,133,20,16,34,18,37,20,16
2025-01-01 00:49:00,20,22,29,28,133,20,16,34,18,37,20
2025-01-01 00:50:00,16,20,22,29,28,133,20,16,34,18,37
2025-01-01 00:51:00,22,16,20,22,29,28,133,20,16,34,18
2025-01-01 00:52:00,20,22,16,20,22,29,28,133,20,16,34
2025-01-01 00:53:00,15,20,22,16,20,22,29,28,133,20,16
2025-01-01 00:54:00,24,15,20,22,16,20,22,29,28,133,20
2025-01-01 00:55:00,34,24,15,20,22,16,20,22,29,28,133
2025-01-01 00:56:00,24,34,24,15,20,22,16,20,22,29,28
2025-01-01 00:57:00,32,24,34,24,15,20,22,16,20,22,29
2025-01-01 00:58:00,12,32,24,34,24,15,20,22,16,20,22
2025-01-01 00:59:00,17,12,32,24,34,24,15,20,22,16,20
2025-01-01 01:00:00,211,17,12,32,24,34,24,15,20,22,16
2025-01-01 01:01:00,30,211,17,12,32,24,34,24,15,20,22
2025-01-01 01:02:00,217,30,211,17,12,32,24,34,24,15,20
