group,model,cold_units,idle_units,stored_total_cost,cost_r5,cost_r10,cost_r20
phase1_azure,Reactive,37072085.0,37044360.0,407765210.0,222404785.0,407765210.0,778486060.0
phase1_azure,Static_P90,18318487.0,187722721.0,370907591.0,279315156.0,370907591.0,554092461.0
phase1_azure,Forecast_Only,43258850.0,43174160.0,475762660.0,259468410.0,475762660.0,908351160.0
phase1_azure,Seasonal_Naive,121420546.0,48632929.0,1262838389.0,655735659.0,1262838389.0,2477043849.0
phase1_azure,Linear_Seasonal,45160587.0,26473803.0,478079673.0,252276738.0,478079673.0,929685543.0
phase1_azure,TCN,34377188.0,27593033.0,371364913.0,199478973.0,371364913.0,715136793.0
phase2_azure,RiskAware(Reactive),865343.0,437903483.0,446556913.0,442230198.0,446556913.0,455210343.0
phase2_azure,RiskAware(Forecast_Only),1085265.0,478175501.0,489028151.0,483601826.0,489028151.0,499880801.0
phase2_azure,RiskAware(Seasonal_Naive),13851671.0,272421395.0,410938105.0,341679750.0,410938105.0,549454815.0
phase2_azure,RiskAware(Linear_Seasonal),823624.0,357339379.0,365575619.0,361457499.0,365575619.0,373811859.0
phase2_azure,RiskAware(TCN),741901.0,334948146.0,342367156.0,338657651.0,342367156.0,349786166.0
phase1_huawei,Reactive,495683.0,495782.0,5452612.0,2974197.0,5452612.0,10409442.0
phase1_huawei,Static_P90,169759.0,1381055.0,3078645.0,2229850.0,3078645.0,4776235.0
phase1_huawei,Forecast_Only,366463.0,370338.0,4034968.0,2202653.0,4034968.0,7699598.0
phase1_huawei,Seasonal_Naive,268035.0,265853.0,2946203.0,1606028.0,2946203.0,5626553.0
phase1_huawei,Linear_Seasonal,287825.0,224794.0,3103044.0,1663919.0,3103044.0,5981294.0
phase1_huawei,TCN,226064.0,208425.0,2469065.0,1338745.0,2469065.0,4729705.0
phase2_huawei,RiskAware(Reactive),6634.0,5747604.0,5813944.0,5780774.0,5813944.0,5880284.0
phase2_huawei,RiskAware(Forecast_Only),7868.0,5372462.0,5451142.0,5411802.0,5451142.0,5529822.0
phase2_huawei,RiskAware(Seasonal_Naive),10267.0,3292840.0,3395510.0,3344175.0,3395510.0,3498180.0
phase2_huawei,RiskAware(Linear_Seasonal),10070.0,3237703.0,3338403.0,3288053.0,3338403.0,3439103.0
phase2_huawei,RiskAware(TCN),10189.0,3369769.0,3471659.0,3420714.0,3471659.0,3573549.0
phase4_azure,C0_no_buffer_Reactive,37072085.0,37044360.0,407765210.0,222404785.0,407765210.0,778486060.0
phase4_azure,C0_no_buffer_TCN,34377188.0,27593033.0,371364913.0,199478973.0,371364913.0,715136793.0
phase4_azure,C4_dynamic_evt_Reactive,865343.0,437903483.0,446556913.0,442230198.0,446556913.0,455210343.0
phase4_azure,C4_dynamic_evt_TCN,741901.0,334948146.0,342367156.0,338657651.0,342367156.0,349786166.0
phase4_azure,C1_static_gaussian_Reactive,1980591.0,304134850.0,323940760.0,314037805.0,323940760.0,343746670.0
phase4_azure,C1_static_gaussian_TCN,1912098.0,220009883.0,239130863.0,229570373.0,239130863.0,258251843.0
phase4_azure,C2_dynamic_gaussian_Reactive,3165057.0,283122194.0,314772764.0,298947479.0,314772764.0,346423334.0
phase4_azure,C2_dynamic_gaussian_TCN,2818121.0,207635619.0,235816829.0,221726224.0,235816829.0,263998039.0
phase4_azure,C3_static_evt_Reactive,84281.0,471774348.0,472617158.0,472195753.0,472617158.0,473459968.0
phase4_azure,C3_static_evt_TCN,243049.0,355850020.0,358280510.0,357065265.0,358280510.0,360711000.0
