dataset,model,n_exceedances,xi_hat,xi_lo,xi_hi,cvar_hat,cvar_lo,cvar_hi,n_infinite_cvar_resamples,cvar_gt_gaussian_full_ci
Azure,RiskAware(Reactive),1124,-0.09282723843882515,-0.15110335931254534,-0.04270657378186185,4.160499485454083,3.965600588461048,4.350641500825212,0,True
Azure,RiskAware(Forecast_Only),1124,0.002603868838608002,-0.06072885377778538,0.058591699207718416,4.278235492590942,4.038171870934404,4.525758065757081,0,True
Azure,RiskAware(Seasonal_Naive),1124,0.18446953838794972,0.11448149630515383,0.25287588041762427,3.543541752045574,3.2904053224885508,3.8381717705428713,0,True
Azure,RiskAware(Linear_Seasonal),1124,0.019195529920013728,-0.04421189726176576,0.07601183638265627,4.160576685709615,3.926370257825903,4.404120340564407,0,True
Azure,RiskAware(TCN),1124,0.02217298197406918,-0.04036343804058224,0.07972532569394719,4.294922941981026,4.04744699488138,4.540500537796931,0,True
Huawei Combined,RiskAware(Reactive),2580,-0.07230001426229865,-0.10956483276242858,-0.03889342170373034,3.8037043157159287,3.69690109678067,3.908087835059739,0,True
Huawei Combined,RiskAware(Forecast_Only),2592,-0.04402455197777628,-0.08173290793455178,-0.007867166606301513,4.923911630216586,4.766120653122496,5.091418477377547,0,True
Huawei Combined,RiskAware(Seasonal_Naive),2563,0.31937996300854876,0.26521275188307303,0.36797244854224614,4.370902033858259,4.020996075832011,4.7417802860354294,0,True
Huawei Combined,RiskAware(Linear_Seasonal),2592,0.2417271332732127,0.19304376167360124,0.2876875787359292,4.615715211007349,4.323858176800766,4.930643283711787,0,True
Huawei Combined,RiskAware(TCN),2592,0.27797895635231057,0.2285506129278819,0.32499206113394863,5.460408720100608,5.071324147596332,5.901829081326139,0,True
Huawei R1,RiskAware(Reactive),2583,0.002561137741960676,-0.03724445041848426,0.04156269691622152,3.447520716843572,3.343700581005055,3.55101599057397,0,True
Huawei R1,RiskAware(Forecast_Only),2591,0.04058179946489557,0.0007607028433540419,0.08040720492689227,4.461470208657806,4.311714391248114,4.616370703574476,0,True
Huawei R1,RiskAware(Seasonal_Naive),2553,0.367726346464324,0.31486366703038693,0.4188271118136093,4.560028107825983,4.152700057945039,5.008957435924063,0,True
Huawei R1,RiskAware(Linear_Seasonal),2592,0.3204311559994296,0.26841720470761643,0.3692155159008202,4.924372357646447,4.554503945793197,5.3328919156662895,0,True
Huawei R1,RiskAware(TCN),2592,0.35795798783332944,0.30514433564479426,0.40986377652726697,6.121651038190197,5.58751341525156,6.739639911888603,0,True
Huawei R2,RiskAware(Reactive),2464,0.41074883316151634,0.3542820492990783,0.46792970357057356,5.2898191180866165,4.786673971093029,5.8979455818516024,0,True
Huawei R2,RiskAware(Forecast_Only),2592,0.6267099912435183,0.5616348714742474,0.690106460462458,9.243097147669694,7.731808722887521,11.41345750419101,0,True
Huawei R2,RiskAware(Seasonal_Naive),2513,0.4387865304791125,0.3832567626268457,0.49632757630428,4.44783924987943,4.002896194061152,5.002539101318027,0,True
Huawei R2,RiskAware(Linear_Seasonal),2592,0.4736801611206778,0.41865527176532535,0.5283972691780721,6.044424388323292,5.386628530356752,6.855303497337799,0,True
Huawei R2,RiskAware(TCN),2592,0.5013470812556198,0.44030522915947984,0.5566405040782969,6.5938750297221365,5.772983750825542,7.5068956512938145,0,True
Huawei R3,RiskAware(Reactive),2587,-0.20950438313405603,-0.2443203804970161,-0.18103247741690492,3.0870815337940116,3.0217518054860015,3.143687224022996,0,True
Huawei R3,RiskAware(Forecast_Only),2545,-0.24239777949058744,-0.2748791880004122,-0.21459578795069803,3.347384892435926,3.2864701818068927,3.404358124893137,0,True
Huawei R3,RiskAware(Seasonal_Naive),2113,0.03790440441608358,-0.008010782080925859,0.08264138669872184,4.440737658715244,4.234649333165397,4.653074085380796,0,True
Huawei R3,RiskAware(Linear_Seasonal),2591,0.2642974674240437,0.21493917194845266,0.31069213933460343,4.532487845682563,4.232382252066559,4.851937449567308,0,True
Huawei R3,RiskAware(TCN),2592,0.1538247469831582,0.10702654769038719,0.19725546955699752,4.3417514512237965,4.117900916963922,4.569755368184145,0,True
