alpha,W,threshold,config_key,model,request_sla,extreme_sla,total_cost,cold_cost,idle_cost,total_cold_starts,cold_start_rate
0.95,10,85,a0.950_W010_P85,Reactive,0.9978309751156812,0.9870488214061932,324255526.0,52867990.0,271387536.0,5286799,0.0352564102564102
0.95,10,85,a0.950_W010_P85,TCN,0.9984132916150192,0.9857467509521828,230813989.0,38674560.0,192139429.0,3867456,0.0397970085470085
0.95,10,95,a0.950_W010_P95,Reactive,0.9978942706281604,0.9872523819087466,329271747.0,51325220.0,277946527.0,5132522,0.0347222222222222
0.95,10,95,a0.950_W010_P95,TCN,0.9984393016204292,0.9859474921895603,232265475.0,38040590.0,194224885.0,3804059,0.0389957264957264
0.95,30,90,a0.950_W030_P90,Reactive,0.9987660827504352,0.9897842253894517,320271484.0,30075600.0,290195884.0,3007560,0.0240384615384615
0.95,30,90,a0.950_W030_P90,TCN,0.9988867695529874,0.9837932868900012,238877676.0,27133970.0,211743706.0,2713397,0.0285790598290598
0.95,60,85,a0.950_W060_P85,Reactive,0.9990373196343032,0.9920973607903002,316109152.0,23464450.0,292644702.0,2346445,0.0256410256410256
0.95,60,85,a0.950_W060_P85,TCN,0.9991402872052884,0.9851572378254214,237071530.0,20954710.0,216116820.0,2095471,0.0280448717948717
0.95,60,95,a0.950_W060_P95,Reactive,0.99911171218018,0.9926451583492848,321438249.0,21651200.0,299787049.0,2165120,0.0248397435897435
0.95,60,95,a0.950_W060_P95,TCN,0.9991670303665208,0.985458708062654,238787036.0,20302870.0,218484166.0,2030287,0.0275106837606837
0.975,30,90,a0.975_W030_P90,Reactive,0.999239540585082,0.9935036007033636,374867029.0,18535500.0,356331529.0,1853550,0.0178952991452991
0.975,30,90,a0.975_W030_P90,TCN,0.9993319379117436,0.9890669374308056,280305253.0,16283400.0,264021853.0,1628340,0.0194978632478632
0.99,10,85,a0.990_W010_P85,Reactive,0.9989560152383208,0.992156326438223,462582217.0,25446170.0,437136047.0,2544617,0.0213675213675213
0.99,10,85,a0.990_W010_P85,TCN,0.9993430657155314,0.9930759802955345,328266270.0,16012170.0,312254100.0,1601217,0.0176282051282051
0.99,10,90,a0.990_W010_P90,Reactive,0.9988154983554576,0.9913307595831482,439114298.0,28871140.0,410243158.0,2887114,0.0221688034188034
0.99,10,90,a0.990_W010_P90,TCN,0.999307004049435,0.9927542973605132,321190643.0,16891140.0,304299503.0,1689114,0.0186965811965811
0.99,10,95,a0.990_W010_P95,Reactive,0.9988231433613854,0.991374912142857,440366539.0,28684800.0,411681739.0,2868480,0.0221688034188034
0.99,10,95,a0.990_W010_P95,TCN,0.9993000524029586,0.9926944715977908,319882011.0,17060580.0,302821431.0,1706058,0.0186965811965811
0.99,30,85,a0.990_W030_P85,Reactive,0.9997482370804646,0.997814639431036,473008056.0,6136490.0,466871566.0,613649,0.0104166666666666
0.99,30,85,a0.990_W030_P85,TCN,0.9997259002390596,0.9948944541183468,350419070.0,6680930.0,343738140.0,668093,0.0104166666666666
0.99,30,90,a0.990_W030_P90,Reactive,0.9996449741137368,0.996934598638658,446556913.0,8653430.0,437903483.0,865343,0.0112179487179487
0.99,30,90,a0.990_W030_P90,TCN,0.999695618893266,0.994395969807868,342367156.0,7419010.0,334948146.0,741901,0.0114850427350427
0.99,30,95,a0.990_W030_P95,Reactive,0.99965060058209,0.996981666031854,447969421.0,8516290.0,439453131.0,851629,0.0112179487179487
0.99,30,95,a0.990_W030_P95,TCN,0.9996896084104472,0.9943032685461416,340880633.0,7565510.0,333315123.0,756551,0.0117521367521367
0.99,60,85,a0.990_W060_P85,Reactive,0.9999528277615342,0.9995993776400448,475373710.0,1149780.0,474223930.0,114978,0.0032051282051282
0.99,60,85,a0.990_W060_P85,TCN,0.9999064379115143,0.9980059194056188,355066282.0,2280490.0,352785792.0,228049,0.0042735042735042
0.99,60,90,a0.990_W060_P90,Reactive,0.999911031725584,0.9992382249925564,446782589.0,2168520.0,444614069.0,216852,0.0042735042735042
0.99,60,90,a0.990_W060_P90,TCN,0.9998900340115456,0.9975081518574728,346401934.0,2680320.0,343721614.0,268032,0.0053418803418803
0.99,60,95,a0.990_W060_P95,Reactive,0.9999134986903068,0.9992575297913902,448306166.0,2108390.0,446197776.0,210839,0.0040064102564102
0.99,60,95,a0.990_W060_P95,TCN,0.9998865360336268,0.997400494155066,344803336.0,2765580.0,342037756.0,276558,0.0053418803418803
