alpha,W,threshold,config_key,model,request_sla,extreme_sla,total_cost,cold_cost,idle_cost,total_cold_starts,cold_start_rate,sweep
0.95,30,90,a0.950_W030_P90,Reactive,0.9987660827504353,0.9897842253894517,320271484.0,30075600.0,290195884.0,3007560,0.02403846153846154,alpha
0.95,30,90,a0.950_W030_P90,TCN,0.9988867695529874,0.9837932868900012,238877676.0,27133970.0,211743706.0,2713397,0.028579059829059828,alpha
0.975,30,90,a0.975_W030_P90,Reactive,0.999239540585082,0.9935036007033636,374867029.0,18535500.0,356331529.0,1853550,0.017895299145299144,alpha
0.975,30,90,a0.975_W030_P90,TCN,0.9993319379117437,0.9890669374308055,280305253.0,16283400.0,264021853.0,1628340,0.019497863247863248,alpha
0.99,30,90,a0.990_W030_P90,Reactive,0.9996449741137367,0.9969345986386581,446556913.0,8653430.0,437903483.0,865343,0.011217948717948718,alpha
0.99,30,90,a0.990_W030_P90,TCN,0.9996956188932659,0.994395969807868,342367156.0,7419010.0,334948146.0,741901,0.011485042735042736,alpha
0.99,10,90,a0.990_W010_P90,Reactive,0.9988154983554577,0.9913307595831482,439114298.0,28871140.0,410243158.0,2887114,0.02216880341880342,W
0.99,10,90,a0.990_W010_P90,TCN,0.999307004049435,0.9927542973605131,321190643.0,16891140.0,304299503.0,1689114,0.018696581196581196,W
0.99,30,90,a0.990_W030_P90,Reactive,0.9996449741137367,0.9969345986386581,446556913.0,8653430.0,437903483.0,865343,0.011217948717948718,W
0.99,30,90,a0.990_W030_P90,TCN,0.9996956188932659,0.994395969807868,342367156.0,7419010.0,334948146.0,741901,0.011485042735042736,W
0.99,60,90,a0.990_W060_P90,Reactive,0.999911031725584,0.9992382249925564,446782589.0,2168520.0,444614069.0,216852,0.004273504273504274,W
0.99,60,90,a0.990_W060_P90,TCN,0.9998900340115457,0.9975081518574729,346401934.0,2680320.0,343721614.0,268032,0.005341880341880342,W
0.99,30,85,a0.990_W030_P85,Reactive,0.9997482370804646,0.997814639431036,473008056.0,6136490.0,466871566.0,613649,0.010416666666666666,threshold
0.99,30,85,a0.990_W030_P85,TCN,0.9997259002390597,0.9948944541183468,350419070.0,6680930.0,343738140.0,668093,0.010416666666666666,threshold
0.99,30,90,a0.990_W030_P90,Reactive,0.9996449741137367,0.9969345986386581,446556913.0,8653430.0,437903483.0,865343,0.011217948717948718,threshold
0.99,30,90,a0.990_W030_P90,TCN,0.9996956188932659,0.994395969807868,342367156.0,7419010.0,334948146.0,741901,0.011485042735042736,threshold
0.99,30,95,a0.990_W030_P95,Reactive,0.99965060058209,0.9969816660318541,447969421.0,8516290.0,439453131.0,851629,0.011217948717948718,threshold
0.99,30,95,a0.990_W030_P95,TCN,0.9996896084104472,0.9943032685461417,340880633.0,7565510.0,333315123.0,756551,0.011752136752136752,threshold
