alpha,W,threshold,config_key,model,request_sla,extreme_sla,total_cost,cold_cost,idle_cost,total_cold_starts,cold_start_rate
0.95,10,85,a0.950_W010_P85,Reactive,0.9978309751156813,0.9870488214061931,324255526.0,52867990.0,271387536.0,5286799,0.035256410256410256
0.95,10,85,a0.950_W010_P85,TCN,0.9984132916150192,0.9857467509521829,230813989.0,38674560.0,192139429.0,3867456,0.039797008547008544
0.95,10,95,a0.950_W010_P95,Reactive,0.9978942706281603,0.9872523819087466,329271747.0,51325220.0,277946527.0,5132522,0.034722222222222224
0.95,10,95,a0.950_W010_P95,TCN,0.9984393016204292,0.9859474921895603,232265475.0,38040590.0,194224885.0,3804059,0.038995726495726496
0.95,60,85,a0.950_W060_P85,Reactive,0.9990373196343032,0.9920973607903002,316109152.0,23464450.0,292644702.0,2346445,0.02564102564102564
0.95,60,85,a0.950_W060_P85,TCN,0.9991402872052885,0.9851572378254214,237071530.0,20954710.0,216116820.0,2095471,0.028044871794871796
0.95,60,95,a0.950_W060_P95,Reactive,0.9991117121801801,0.9926451583492849,321438249.0,21651200.0,299787049.0,2165120,0.024839743589743588
0.95,60,95,a0.950_W060_P95,TCN,0.9991670303665207,0.985458708062654,238787036.0,20302870.0,218484166.0,2030287,0.02751068376068376
0.99,10,85,a0.990_W010_P85,Reactive,0.9989560152383209,0.992156326438223,462582217.0,25446170.0,437136047.0,2544617,0.021367521367521368
0.99,10,85,a0.990_W010_P85,TCN,0.9993430657155314,0.9930759802955345,328266270.0,16012170.0,312254100.0,1601217,0.017628205128205128
0.99,10,95,a0.990_W010_P95,Reactive,0.9988231433613854,0.991374912142857,440366539.0,28684800.0,411681739.0,2868480,0.02216880341880342
0.99,10,95,a0.990_W010_P95,TCN,0.9993000524029586,0.9926944715977908,319882011.0,17060580.0,302821431.0,1706058,0.018696581196581196
0.99,60,85,a0.990_W060_P85,Reactive,0.9999528277615342,0.9995993776400447,475373710.0,1149780.0,474223930.0,114978,0.003205128205128205
0.99,60,85,a0.990_W060_P85,TCN,0.9999064379115143,0.9980059194056187,355066282.0,2280490.0,352785792.0,228049,0.004273504273504274
0.99,60,95,a0.990_W060_P95,Reactive,0.9999134986903068,0.9992575297913902,448306166.0,2108390.0,446197776.0,210839,0.004006410256410256
0.99,60,95,a0.990_W060_P95,TCN,0.9998865360336269,0.997400494155066,344803336.0,2765580.0,342037756.0,276558,0.005341880341880342
